customer_id,age,annual_income,account_balance,credit_score,num_products,tenure_months,monthly_transactions,avg_transaction_amount,loan_amount,savings_account,credit_card,cluster,segment
1,56,52426.93873370101,12918.777496427248,366,1,17,65,342.5754132923937,0,1,1,0,Standard
2,69,74216.12476332224,20916.148411437334,650,4,74,39,148.55362575460563,0,1,1,0,Standard
3,46,32448.67265306619,9106.352430557885,408,1,57,54,275.82527159172366,0,0,1,0,Standard
4,32,41808.44633505579,23496.020970210244,445,1,55,86,195.6612673737695,10000,1,1,0,Standard
5,60,40197.296171696056,18570.154859650476,410,4,113,66,240.45040360956065,10000,0,1,0,Standard
6,25,15000.0,8070.904047393458,527,4,36,21,165.49153466054258,10000,0,1,2,Young Starters
7,38,57403.0069266144,23995.998754332508,410,5,12,92,306.1573311874431,5000,0,0,2,Young Starters
8,56,56526.38180449724,18072.995208766093,769,1,62,7,308.38101204351153,0,1,1,0,Standard
9,36,50127.83641606152,23128.621188389603,333,1,80,36,268.98935387332165,25000,1,1,0,Standard
10,40,44135.321665621326,21296.288419236123,668,5,88,17,291.12714907242565,5000,1,1,2,Young Starters
11,28,15000.0,6710.049890779277,724,3,36,93,58.34468336854212,5000,1,0,2,Young Starters
12,28,39483.866930866025,9398.189598030303,817,3,8,77,248.4868644363469,0,1,1,2,Young Starters
13,41,41432.13708683077,22472.936051232617,581,3,95,72,387.38026512313,0,1,0,0,Standard
14,70,29943.068269459527,21103.702654334647,619,5,21,18,273.71068505292465,0,1,1,2,Young Starters
15,53,45967.85720834977,14790.984060358518,742,1,81,15,45.39237457977151,0,0,1,0,Standard
16,57,60101.27142036346,16173.27383308782,614,5,87,60,192.53502355263728,5000,1,1,0,Standard
17,41,97154.64753026326,48779.90797766268,676,5,101,71,256.2466907509563,5000,0,1,1,Premium
18,20,54364.44532079597,9084.2861116417,588,3,36,96,86.39007246525364,10000,1,1,2,Young Starters
19,39,56438.75976806911,20470.97381170038,736,2,80,33,10.0,10000,1,0,0,Standard
20,70,48138.85210584582,12978.07347566106,576,1,70,13,152.58531973452097,25000,0,1,0,Standard
21,19,15000.0,12823.187967727798,802,3,36,71,88.87513880484464,10000,0,1,2,Young Starters
22,41,49337.15311376958,25987.7685198719,815,2,25,29,197.85664529150463,50000,1,1,3,Budget-Conscious
23,61,51505.75524852566,23254.1634898803,649,2,82,80,10.0,0,1,1,0,Standard
24,47,111581.05281213215,44947.95043513881,745,4,89,46,284.70515938042337,0,0,1,1,Premium
25,55,45190.97588047194,28054.78807154329,649,1,12,13,104.80924470599648,0,1,1,0,Standard
26,19,57538.68355834032,15210.03841632759,436,2,15,83,349.3628355022034,10000,0,1,2,Young Starters
27,38,49132.20575736892,21819.52971294964,542,3,59,44,158.46517403054327,25000,1,1,0,Standard
28,50,20783.0490595117,11897.33243406544,842,4,26,29,196.1916430423269,0,1,1,2,Young Starters
29,29,78570.57036287551,45083.7732972478,650,1,36,9,174.04476819546232,25000,0,1,1,Premium
30,39,68798.32581716936,13698.569456323154,528,5,109,15,96.77604648495912,0,0,1,0,Standard
31,61,69775.79867607617,15969.95964992718,847,3,26,63,570.841919340899,25000,0,0,0,Standard
32,42,27265.313630131528,20951.570254369137,522,2,47,92,125.62007329890729,0,1,1,0,Standard
33,66,85069.85777340247,32758.521841200192,650,2,32,83,353.528228369849,0,0,1,0,Standard
34,44,15000.0,35923.8727568546,621,3,10,42,35.95565809049074,5000,1,1,2,Young Starters
35,59,64671.42734500676,4939.826185002979,767,2,16,76,255.81970866397413,0,0,0,0,Standard
36,45,104761.39064524946,25541.831987184985,650,4,71,9,271.8308245897754,0,1,1,1,Premium
37,33,25236.59187173279,26581.10873500068,303,1,17,52,196.3734534352805,0,1,1,2,Young Starters
38,32,35842.5567599307,22916.62693962936,417,4,23,94,114.34929205406402,25000,1,1,2,Young Starters
39,64,52491.28412719103,21241.19817052155,803,2,26,22,160.5017146079054,5000,1,0,0,Standard
40,68,37413.10864709502,21283.4550926428,740,5,85,74,139.50657470403195,0,1,1,0,Standard
41,61,15000.0,14877.532271530854,493,1,86,41,560.3039422753184,10000,1,1,0,Standard
42,72,51714.07437015068,6027.456285141685,691,1,7,64,196.60953658327708,10000,1,1,0,Standard
43,69,23442.407156847377,15758.045581937264,325,3,14,52,278.73331679959256,0,1,1,0,Standard
44,74,61839.81076587954,8228.382884878883,734,3,79,81,467.2437635638051,5000,0,1,0,Standard
45,20,27014.39414415492,24751.197334177512,472,5,36,32,68.55219980387281,0,1,1,2,Young Starters
46,54,88748.36012543848,37356.37725583078,650,1,7,73,205.64903497519063,0,1,1,0,Standard
47,68,30418.667691594077,6745.028032074884,625,5,9,81,159.62208024779164,10000,0,1,2,Young Starters
48,24,41948.462094858114,11786.141583470066,709,3,36,85,187.0792331774954,0,1,1,2,Young Starters
49,38,70337.93043424175,38170.20725172304,650,3,48,44,173.14820493237718,5000,1,0,1,Premium
50,26,19228.39208915112,9362.754471960252,524,1,36,49,90.21843715546744,10000,1,0,2,Young Starters
51,56,55686.49836510324,6777.796044335686,831,4,114,66,229.31154274949492,0,1,1,0,Standard
52,35,82678.5688570607,31341.29905832304,650,2,59,97,40.605083387584784,5000,1,1,1,Premium
53,21,15000.0,17449.66571108723,439,3,36,62,348.3324105963527,0,0,1,2,Young Starters
54,42,54615.84646330761,9930.568246288702,300,3,93,71,293.4964709981906,50000,1,1,3,Budget-Conscious
55,31,56497.06985621059,10289.616943816773,389,4,82,60,125.98057754539762,5000,1,1,2,Young Starters
56,67,69545.57179443276,17320.499373576364,619,4,95,44,133.25250179392106,25000,0,1,0,Standard
57,26,19076.232228047957,519.156585026758,849,5,36,44,241.326584352238,5000,0,0,2,Young Starters
58,43,16988.584672893092,925.362256234448,438,5,116,95,80.21820265907263,0,1,1,0,Standard
59,70,63048.53914042244,7815.55778747564,810,2,39,81,471.7970186202307,10000,0,1,0,Standard
60,19,57424.61683082965,12865.528482881527,558,2,36,37,253.6888593037653,50000,1,0,3,Budget-Conscious
61,37,56262.32125864692,18109.075655980047,309,1,18,10,258.9894727075516,10000,0,1,2,Young Starters
62,45,58661.2052374244,29753.56216949552,560,5,59,92,302.2167620535929,25000,0,1,2,Young Starters
63,64,32999.38196053773,23576.59623202019,471,3,106,23,113.08050888948948,25000,0,1,0,Standard
64,24,55806.34242902509,13400.614700365728,312,5,36,84,363.35149726771607,0,1,1,2,Young Starters
65,61,57326.81183246703,14809.837920973112,467,3,17,44,217.1800049323196,0,1,1,0,Standard
66,25,32141.21454934081,4974.706353621912,620,4,14,96,342.5218206498248,10000,1,1,2,Young Starters
67,64,96644.36277861892,35403.474726980654,650,5,31,63,170.30703101475044,5000,1,1,1,Premium
68,52,61845.82302279469,12113.413610798616,628,4,24,63,397.5917340096779,25000,0,1,2,Young Starters
69,31,20217.412569933786,18227.18560338089,849,2,99,52,260.20154405371846,25000,1,1,0,Standard
70,34,66413.84021584575,6727.69056447677,718,2,108,45,527.3760536265631,0,1,0,0,Standard
71,53,25632.958244316964,20193.46514241172,394,1,60,17,144.57175747666548,0,1,1,0,Standard
72,67,69677.1150935613,30327.38913002577,617,5,45,49,230.68240941361185,10000,0,1,1,Premium
73,57,78964.8894751851,38825.26583357032,650,4,98,93,45.26356296947631,0,1,1,0,Standard
74,21,29482.94204120724,19017.11722098941,633,3,3,57,120.60526436806704,25000,0,1,2,Young Starters
75,19,74084.40323110804,45183.24426625387,675,2,36,46,292.80298217718587,5000,1,1,1,Premium
76,23,60319.52317341245,10987.795281141638,758,2,36,67,369.39866563092505,10000,1,0,0,Standard
77,71,70551.50399986225,41409.96151390099,650,3,40,31,644.7515527581083,0,1,1,0,Standard
78,59,97419.82456634867,32987.14557258419,846,4,90,42,185.50566400651687,10000,1,1,1,Premium
79,21,43865.29709992824,15976.760985488318,812,4,36,64,60.01798885316035,5000,1,0,2,Young Starters
80,71,31156.59589106276,7269.902161445335,595,5,87,11,312.99886405658617,5000,1,0,0,Standard
81,46,27762.13925936192,15245.101742589428,619,5,108,9,30.82591692480409,0,1,1,0,Standard
82,35,29604.74287586404,19979.9829124545,648,1,39,49,284.6416082040105,10000,1,1,0,Standard
83,43,48072.4572646474,29511.436077950417,528,2,15,62,124.66164257088144,25000,1,1,0,Standard
84,61,58528.7993704161,24592.70826085207,569,5,113,35,231.73924555705895,0,1,1,0,Standard
85,51,56917.26998325047,36531.82457511556,590,4,4,27,363.6569153247001,0,1,1,1,Premium
86,27,70679.58122590059,25998.790181027383,650,3,36,46,183.3899856378956,0,1,1,1,Premium
87,53,50325.04729694768,23723.20636720678,304,4,86,14,339.9318626492932,10000,1,1,0,Standard
88,31,86338.35192893291,39250.54749795653,678,2,25,36,330.9737822928724,10000,0,1,1,Premium
89,48,43383.579169051096,36898.02933217672,377,4,13,57,10.0,5000,1,1,2,Young Starters
90,65,118004.22916474046,24184.48017390471,709,1,82,34,64.75988809466415,0,0,0,0,Standard
91,32,65641.68369412515,6602.78157819224,431,2,33,43,10.0,0,1,1,2,Young Starters
92,25,28571.06108959293,9006.073545559779,341,3,16,35,500.2605653795203,5000,1,1,2,Young Starters
93,31,23227.687548472197,0.0,388,1,109,86,184.19121118440103,5000,1,1,2,Young Starters
94,40,62061.81038107963,9742.449783192387,701,2,42,6,467.1243819449964,50000,1,0,3,Budget-Conscious
95,74,44413.430366853725,7408.673384463021,595,3,108,82,10.0,0,1,0,0,Standard
96,57,67850.01235230229,16503.937864762076,594,1,66,81,114.08473631772112,10000,1,1,0,Standard
97,38,61830.94061433862,18417.5597577716,825,1,55,97,320.0747362648959,5000,1,1,0,Standard
98,33,48179.27718357818,33761.708392158864,721,2,99,16,226.8911906640026,5000,0,1,0,Standard
99,62,28830.157048289875,24504.2383818605,322,5,42,43,279.9289839220188,10000,1,1,0,Standard
100,35,15000.0,9230.96344337597,442,1,34,70,11.928764931011443,10000,0,1,2,Young Starters
101,64,38837.12619832448,6015.85328651642,444,1,30,17,406.5205239318394,50000,1,0,3,Budget-Conscious
102,70,71409.96985808681,37340.606365400046,650,3,119,50,316.55241436359336,0,1,1,1,Premium
103,41,55352.343603255096,1797.6679297935789,802,4,13,31,260.243825823721,0,1,0,2,Young Starters
104,43,18856.5305322003,33314.58765854353,403,2,13,21,97.15845783772885,10000,0,1,2,Young Starters
105,42,54329.52314627955,26794.401207212868,338,2,18,99,248.5700191408918,5000,0,1,2,Young Starters
106,62,59632.93449322092,10308.24347895295,497,5,32,64,156.27650315097645,0,1,1,2,Young Starters
107,58,27903.56409497168,0.0,690,5,96,68,10.0,0,0,0,0,Standard
108,46,53843.1276486382,28538.72374165413,478,2,99,92,192.43657224177684,0,0,0,0,Standard
109,32,51455.21796115,13854.60154747382,747,5,39,39,176.49044026662114,25000,0,1,2,Young Starters
110,62,21425.742554234424,27378.163119734618,799,3,46,74,359.360226481268,0,1,1,0,Standard
111,18,58944.68400870708,0.0,314,2,36,87,10.0,0,1,1,2,Young Starters
112,42,64019.61315920586,9006.249770462271,588,5,29,34,235.2799743282052,0,1,1,2,Young Starters
113,24,77076.28107938192,36542.34817906909,777,2,36,75,26.664792784142406,0,0,1,1,Premium
114,26,76345.05130087258,39274.32965343196,650,4,36,78,247.883501329332,0,1,1,1,Premium
115,41,15558.265801072725,10499.345285207564,719,1,93,67,256.1420083365959,5000,1,1,0,Standard
116,18,26554.37400212193,21228.499323474985,456,2,36,32,186.97328343047124,0,1,1,2,Young Starters
117,61,62875.881680216495,4323.795706174056,849,1,117,64,321.09396872166263,25000,0,1,0,Standard
118,25,62844.648772805216,13576.205149787063,740,5,36,83,13.135091135045144,0,0,0,2,Young Starters
119,41,62876.1921576512,16202.95631711899,396,1,57,98,366.158067542255,5000,0,1,0,Standard
120,28,146318.28726636805,39146.74497394045,710,2,16,41,93.7881700708788,25000,1,0,1,Premium
121,68,64272.26276732917,22116.1487808889,588,4,56,97,10.0,10000,1,0,0,Standard
122,34,78389.14100451497,17937.631776353115,650,5,108,26,159.14060442502864,5000,0,1,0,Standard
123,25,73850.04408733005,16320.98042478585,650,2,36,72,10.0,0,0,0,1,Premium
124,52,66284.78128264495,27776.76821898509,821,5,10,24,238.12608383693032,0,0,1,1,Premium
125,52,42118.26888399136,18323.14011979592,816,3,30,72,161.11243361296616,10000,1,1,0,Standard
126,50,68974.23051233169,7515.134634434464,417,1,25,95,385.0530382064054,50000,0,1,3,Budget-Conscious
127,22,30679.369636560707,30511.51975522523,458,3,36,68,297.3386315760493,10000,1,1,2,Young Starters
128,59,44079.534831499775,16156.746342928587,527,2,84,21,10.0,5000,1,0,0,Standard
129,56,37865.91130427241,26792.971840638264,515,4,5,16,74.24187633231722,10000,1,1,2,Young Starters
130,58,52046.85348465807,15675.184814101089,314,5,65,26,278.09966308013134,5000,0,1,0,Standard
131,45,107866.46416683772,56625.839673285365,650,1,94,21,327.0618514977552,0,0,1,1,Premium
132,24,15000.0,32553.408424432044,560,5,36,14,383.3751372330321,5000,1,1,2,Young Starters
133,26,67156.50475936284,12510.358515209266,456,2,3,69,382.1763927958022,50000,1,0,3,Budget-Conscious
134,25,15000.0,24715.70950954355,346,5,36,26,186.57160846281417,0,1,1,2,Young Starters
135,29,38201.703355264166,21453.759495851475,623,1,14,94,254.39834333767533,10000,1,1,0,Standard
136,51,77223.76492418416,49643.92039465331,650,2,30,86,394.8107755915695,0,0,1,0,Standard
137,50,51607.000477386566,5350.765394198956,710,5,114,54,154.50373070960774,5000,1,1,0,Standard
138,65,23056.380551767343,21860.514599984395,394,4,68,18,256.95892804101857,0,1,1,0,Standard
139,72,32117.4072685008,25584.24486849588,591,2,18,68,150.96788304805227,5000,0,1,0,Standard
140,40,66989.9437233669,0.0,582,2,62,51,117.35778283018593,10000,1,0,0,Standard
141,41,31740.834207071584,3167.41487334225,368,4,37,33,207.25776774287053,0,1,1,2,Young Starters
142,54,55411.464739549374,0.0,310,3,25,80,96.8684822990613,10000,1,1,2,Young Starters
143,52,51139.29599759534,12305.931655554425,553,1,48,40,180.3626040845376,10000,1,1,0,Standard
144,61,33709.99130985457,22175.422557959624,849,3,65,56,44.756770320180095,25000,1,1,0,Standard
145,57,103598.60223313312,51229.76120923703,650,5,53,80,171.50084192264308,0,1,1,1,Premium
146,39,65847.97555795028,15740.947804197753,322,4,110,11,267.2585440423792,0,0,0,0,Standard
147,44,15000.0,31286.15545571292,645,3,79,33,111.68546956898064,0,1,0,0,Standard
148,52,54661.35786923569,1198.9854178510868,601,2,73,15,201.3937628796369,50000,1,1,3,Budget-Conscious
149,18,33455.3383807903,0.0,662,5,15,37,220.90138904318965,25000,0,1,2,Young Starters
150,52,71310.8333699056,37050.9994640126,695,5,49,10,267.8802337732002,5000,1,1,1,Premium
151,54,30186.981539182485,18840.654489393077,517,3,88,83,179.96302380421764,25000,1,1,0,Standard
152,64,47131.58896332752,14673.052519059069,440,3,68,36,362.87995128017087,5000,1,1,0,Standard
153,31,62624.68197451143,0.0,509,4,12,55,10.0,10000,1,0,2,Young Starters
154,20,71643.87985425304,34137.852397584364,759,1,36,79,640.662927075166,0,1,1,0,Standard
155,18,19992.589823605595,1955.304994951468,655,3,36,62,69.32993539437248,10000,0,1,2,Young Starters
156,22,41637.46910397629,21696.725488300384,623,3,36,91,260.5085035031116,0,0,0,2,Young Starters
157,43,38126.3672209761,18665.982460968484,432,2,101,30,59.22981346912272,25000,0,1,0,Standard
158,72,33666.769185657206,5601.202136726448,426,5,43,50,296.64022392639527,10000,1,1,0,Standard
159,31,94136.35600702744,31186.611050834625,650,1,70,33,241.4853728892392,10000,1,0,1,Premium
160,56,60124.54277402389,4407.864781110484,677,2,39,8,102.39296939823656,0,0,1,0,Standard
161,44,18477.90114162387,14373.209027268282,350,4,56,85,360.96310181154695,0,1,1,0,Standard
162,26,72946.5486763694,44326.28909086805,650,4,36,17,175.40586805971182,0,1,0,1,Premium
163,32,103053.90492531584,30886.40695129176,761,3,46,43,282.0823907085506,0,1,1,1,Premium
164,32,75811.63151377867,47202.17531126595,650,3,88,19,62.42602922059461,0,1,1,1,Premium
165,43,15000.0,9697.423816275592,596,4,11,33,195.366854664263,25000,0,1,2,Young Starters
166,59,37894.14817834372,7071.271677376558,706,3,62,33,500.5110900773157,5000,1,1,0,Standard
167,30,81672.77872966557,27984.63998855425,704,1,77,79,344.4448293671195,0,1,1,0,Standard
168,68,32308.26335953048,4647.576775806259,645,3,98,36,246.14311331765776,0,1,1,0,Standard
169,49,61095.48570365571,9463.50694652818,719,5,25,6,132.6618758585306,5000,1,1,2,Young Starters
170,56,69365.85133573342,3021.221074111516,481,3,71,51,210.12478038125133,10000,1,0,0,Standard
171,66,26826.738210547926,34647.25132916389,300,2,52,82,229.63489852585727,5000,1,1,0,Standard
172,69,48511.866098455,15352.635519717283,670,1,4,88,267.3842652379618,25000,0,1,0,Standard
173,49,15000.0,8002.744920074144,730,2,59,26,38.50092377335014,5000,1,1,0,Standard
174,21,24390.308966642755,17139.79910734222,608,2,36,79,300.26119414135474,50000,1,0,3,Budget-Conscious
175,47,43685.796215170994,13876.719503091705,436,5,20,31,36.561035255802096,25000,1,1,2,Young Starters
176,54,18805.42045087876,12790.30400466777,501,1,93,71,444.6688778422808,0,0,1,0,Standard
177,40,90810.28259829088,39865.40728992299,735,1,63,85,84.25575163746824,25000,0,1,1,Premium
178,56,15000.0,22575.07710047305,612,1,54,60,244.49424795142636,0,0,0,0,Standard
179,62,38998.887832575405,9694.988523894724,416,1,117,96,350.7713859917027,25000,1,1,0,Standard
180,32,53268.51443215228,9241.8175935532,543,1,115,97,162.14299348033254,0,1,1,0,Standard
181,60,86031.83222665288,32413.105486187094,836,5,109,25,251.0900028649788,25000,0,1,1,Premium
182,46,15000.0,0.0,374,3,110,51,415.2772323785077,25000,1,1,0,Standard
183,53,79079.09380387398,18665.4264399284,685,2,74,84,284.66044818399,25000,1,1,0,Standard
184,30,50255.82652548968,28668.74267444525,509,1,107,63,253.3325944511529,10000,1,1,0,Standard
185,49,25462.283723801225,31449.67713501284,774,3,98,88,10.0,0,1,1,0,Standard
186,24,61552.586856581765,12509.639604436215,717,3,36,10,59.94166208896661,0,1,1,2,Young Starters
187,68,54976.49238933675,20765.569630557664,646,2,90,23,357.0380191475018,5000,1,1,0,Standard
188,39,34994.57807103013,18112.50154543536,828,5,41,61,285.49254580120737,0,0,1,2,Young Starters
189,45,51745.05212475047,45788.80808455238,478,4,113,73,308.2199410677611,10000,1,1,1,Premium
190,19,40367.16007845599,26195.749114345766,481,4,3,7,295.3095398322346,0,1,0,2,Young Starters
191,59,52837.9336312812,13720.824085192336,324,3,6,5,393.4634792563061,50000,1,0,3,Budget-Conscious
192,62,66553.26686302616,5444.595593995742,479,2,5,62,160.7900112567316,10000,1,1,0,Standard
193,74,89650.4204036338,28964.612956654368,800,4,5,42,218.07499381839517,25000,1,1,1,Premium
194,70,19054.612529328773,17034.63635867223,460,3,54,19,45.6988500306374,0,0,1,0,Standard
195,23,103325.83436640666,28556.26893760564,650,5,36,38,10.0,25000,1,1,1,Premium
196,45,15000.0,777.4629040232576,584,4,87,65,10.0,25000,0,0,0,Standard
197,45,46205.372624110416,8534.271157574734,362,3,49,39,67.22547515002285,5000,0,1,2,Young Starters
198,61,64707.93016211441,4184.51996385605,455,3,9,68,432.8842723234463,10000,1,1,2,Young Starters
199,61,57024.79669337581,31871.41635072565,768,1,99,29,10.0,10000,1,1,0,Standard
200,37,34432.51200448516,23816.397569494504,348,5,20,28,154.46960216342032,0,0,1,2,Young Starters
